"GEOID10","OBAMA_SHAR","NEAR_DIST"
"1700117001",0.3318872017,13585.6165872
"1700118002",0.2981132075,10410.3984983
"1700118001",0.3893129771,6734.71922009
"1700120001",0.2907216495,6089.41925249
"1700121001",0.3063380282,697.292604286
"1700119003",0.3297413793,1363.05672918
"1700123008",0.3832258065,304.297732169
"1700122002",0.3466334165,1366.66436973
"1700122001",0.3281938326,4640.87522935
"1700123015",0.3876221498,1751.13632379
"1700119002",0.3557894737,3791.81921904
"1700123016",0.4966442953,1114.03616312
"1700120005",0.2788632327,5964.09072889
"1700123019",0.4140271493,3295.83612655
"1700123018",0.3631578947,2952.19232089
"1700120002",0.3045977011,3716.62699399
"1700120004",0.2721382289,3272.4270764
"1700123032",0.313229572,3740.79674826
"1700120003",0.3615819209,911.217612652
"1700120006",0.3488843813,6577.47456627
"1700123003",0.5590909091,572.567830787
"1700123037",0.5924369748,334.290666343
"1700123038",0.4451901566,1078.21917153
"1700123034",0.3235294118,2548.47109261
"1700123031",0.3196544276,4071.30535253
"1700123027",0.4367201426,4051.02571411
"1700123028",0.2641509434,5388.54190822
"1700123025",0.4162790698,3409.76736606
"1700123039",0.3976833977,1845.10537037
"1700123033",0.4394250513,2684.20309195
"1700123001",0.3914027149,597.399652726
"1700123010",0.505,1022.83963906
"1700123002",0.4700854701,213.019235583
"1700123004",0.4597701149,901.34262717
"1700123005",0.5627530364,307.013706068
"1700123041",0.6513157895,323.878736563
"1700123009",0.5266272189,1101.858054
"1700123011",0.6216216216,1394.3946033
"1700123006",0.7133757962,83.8627530619
"1700123007",0.6853932584,69.6661735345
"1700123013",0.4598930481,1882.16238633
"1700123014",0.463800905,1792.84321477
"1700123012",0.6725146199,1399.11482368
"1700123020",0.4259259259,1698.68667775
"1700123042",0.5791666667,526.003816335
"1700123021",0.3727034121,2081.59538571
"1700123022",0.4580335731,2387.83599703
"1700123017",0.4375,1905.08208968
"1700123024",0.3609271523,2899.19346015
"1700123035",0.4947368421,1706.36322014
"1700123043",0.6,579.435795203
"1700123036",0.4522292994,2225.67540417
"1700123023",0.3461538462,2739.71902429
"1700123026",0.4326086957,3104.06521029
"1700123029",0.3828125,2710.33657623
"1700123040",0.4623893805,2046.78134887
"1700123030",0.3473684211,3307.26835928
"1700123046",0.4985590778,1262.56971439
"1700123044",0.5555555556,447.923949786
"1700123045",0.5461538462,197.914499842
"1700107002",0.4285714286,9348.70412907
"1700102001",0.3254716981,2375.17110436
"1700101001",0.3811764706,5579.42726239
"1700110001",0.2666666667,10559.8364923
"1700113001",0.2455516014,6907.4427377
"1700103001",0.2985915493,322.502632866
"1700104001",0.3090909091,7069.61393062
"1700103002",0.2658227848,2654.61503781
"1700105001",0.2682215743,4604.38626763
"1700106001",0.4158075601,13710.2513519
"1700116001",0.3204903678,4357.45897249
"1700107001",0.2515337423,9566.17679324
"1700108001",0.3137254902,10290.9844708
"1700119001",0.2794411178,1352.406476
"1700109001",0.2994454713,7129.57729962
"1700122003",0.2082551595,3522.3633369
"1700111001",0.3263157895,18582.161262
"1700112001",0.2422360248,9434.37148472
"1700114001",0.3584,16010.4700366
"1700115001",0.3111111111,9344.27846118
"1700300201",0.5406698565,3304.60071422
"1700300101",0.8823529412,1854.64778255
"1700300401",0.4530744337,2648.26053562
"1700300102",0.931547619,471.998951307
"1700300601",0.4083665339,120.369632452
"1700300801",0.3196930946,2813.34062192
"1700300104",0.5218579235,52.2115736662
"1700300301",0.7791411043,806.58898059
"1700300901",0.3603960396,563.22013892
"1700300105",0.7111111111,395.093574907
"1700300103",0.9352941176,255.098173688
"17005LG02",0.3792325056,2245.66443431
"17005SH03",0.5698324022,653.932474457
"17005SH02",0.5785123967,1618.3933178
"17005LG01",0.4626168224,1183.91750904
"17005MG02",0.4311111111,5252.12206887
"17005MG01",0.5882352941,4929.26773039
"17005SH04",0.5355029586,3059.6123125
"17005OR00",0.4512471655,6033.00525907
"17005SH01",0.5416666667,2582.22265435
"17005CN01",0.4262023217,2363.7652543
"17005CN06",0.4691011236,3510.99262516
"17005CN07",0.4709302326,1391.98576637
"17005CN1A",0.4222648752,1300.38341125
"17005CN02",0.4695945946,990.240745495
"17005CN05",0.5298701299,2306.47442179
"17005CN03",0.5450980392,730.223818116
"17005CN04",0.5723472669,439.980417126
"17005TM02",0.5648148148,2207.59567737
"17005PM01",0.4461538462,584.650541154
"17005PM02",0.5860805861,3744.98937504
"17005BG01",0.580952381,1103.28269999
"17005BG03",0.4681440443,1075.81783012
"17005BG02",0.5840707965,5625.83966802
"17005ML00",0.4234875445,7530.11007895
"17005TM01",0.4649681529,1177.18861881
"1700701002",0.5856697819,471.868996796
"1700701001",0.5970149254,910.07592844
"1700701010",0.6578947368,83.8453876821
"1700701014",0.5736677116,1000.07134205
"1700701003",0.6199460916,108.309694842
"1700701017",0.5227272727,1210.72410375
"1700701005",0.5410958904,511.114169455
"1700701004",0.7071917808,664.035053971
"1700701006",0.5329341317,903.315588398
"1700701012",0.5273189327,1034.29535998
"1700701007",0.692722372,1289.12465513
"1700701011",0.5929648241,2025.67142437
"1700701008",0.6204819277,1906.3705347
"1700701020",0.3596214511,6612.12766943
"1700701009",0.5995423341,537.221489921
"1700701015",0.5942760943,1329.65868019
"1700701016",0.465648855,4918.87977626
"1700701013",0.582172702,1261.21094293
"1700701019",0.3941979522,5899.80912793
"1700703001",0.460492228,376.916474353
"1700709002",0.5014492754,808.11861396
"1700706002",0.4626865672,4522.00512121
"1700702001",0.6097201767,1351.77680153
"1700701018",0.3271719039,4344.1576596
"1700702002",0.484962406,2432.42710101
"1700705001",0.443254818,6315.31481303
"1700703002",0.5782227785,1881.34502391
"1700704001",0.4618320611,7788.90766113
"1700706001",0.4827586207,255.071444051
"1700707001",0.4295302013,2189.55010864
"1700708001",0.4007490637,5989.61263739
"1700709001",0.5768143261,851.55250519
"1700709003",0.5654320988,2109.57564828
"1700703003",0.5547445255,1040.05879913
"1700707002",0.6048192771,24.4783732486
"1700706003",0.5962732919,1139.62866376
"1700701021",0.3667820069,5578.31803013
"1700701022",0.4276527331,4884.81177111
"1700900101",0.2291666667,18780.1450776
"1700900401",0.3636363636,18780.2016348
"1700900301",0.3333333333,16793.4395785
"1700900801",0.5744680851,12709.3199463
"1700900201",0.3578431373,16193.8766766
"1700900901",0.378238342,10552.9620676
"1700900603",0.3412698413,20392.9422743
"1700900902",0.3888888889,7764.11416692
"1700900605",0.4589371981,24061.2797608
"1700900701",0.380952381,14575.7673244
"1700900501",0.375,16418.7212398
"1700900601",0.3878406709,19204.8922469
"1700900604",0.3853211009,22606.8269388
"1700900602",0.462406015,21586.4711649
"1701101001",0.4278350515,750.890526782
"1701102001",0.4942528736,607.923404276
"1701102002",0.4246575342,956.961541451
"1701108001",0.5027322404,1457.98928941
"1701103002",0.427184466,4836.61559151
"1701121001",0.4101123596,5344.39386783
"1701122001",0.419047619,2021.93539904
"1701117002",0.5290102389,34.9410034822
"1701119001",0.5328947368,570.955534508
"1701124001",0.3802816901,7921.53906104
"1701103001",0.5,343.443851769
"1701104002",0.4052132701,489.66352074
"1701109001",0.4163822526,5967.70492775
"1701104001",0.5121412804,2225.67200085
"1701125001",0.3962264151,4120.38946767
"1701123001",0.5474006116,1696.67848591
"1701110001",0.3717948718,8248.54809476
"1701105001",0.4638554217,2399.32196979
"1701106001",0.5471698113,9751.27427341
"1701111001",0.5217391304,1074.61070133
